District,Crime Attribute,Crime Measure
Bagalkot,Other IPC Crimes (Incidence (I) of Cognizable Crimes (IPC)),1236
Bagalkot,Other Theft (Incidence (I) of Cognizable Crimes (IPC)),62
Bagalkot,Act Cases Committed Against Scs / Sts (Total),41
Bagalkot,Arson  (Incidence),5
Bagalkot,Act Cases Committed Against Scs / Sts (Percentage),2.8
Bagalkot,Counterfeiting (Incidence (I) of Cognizable Crimes (IPC)),0
Bagalkot,Dacoity (Incidence (I) of Cognizable Crimes (IPC)),8
Bagalkot,Preparation & Assembly For Dacoity (Incidence (I) of Cognizable Crimes (IPC)),0
Bagalkot,Total Complaints,2516
Bagalkot,Category of Complaints Received Oral,919
Bagalkot,Category of Complaints Received Written,1596
Bagalkot,Category of Complaints Received Distress Call Over Phone 100,0
Bagalkot,Category of Complaints Received Complaints Nitiated Suomoto by Police,0
Bagalkot,Total (Number of Case Registered Under),2516
Bagalkot,IPC (Number of Case Registered Under),2187
Bagalkot,SLL (Number of Case Registered Under),328
Bagalkot,Incidence of Total Cog.Crimes (IPC),2516
Bagalkot,Percentage Contribution to Karnataka Total (IPC),1.6
Bagalkot,Rank of Criminality (IPC),31
Bagalkot,Incidence of Total Cog.Crimes (SLL),328
Bagalkot,Percentage Contribution to Karnataka Total (SLL),1.9
Bagalkot,Rank of Criminality (SLL),27
Bagalkot,Murder (Incidence),35
Bagalkot,Attempt to Commit Murder (Incidence),37
Bagalkot,C.H. Not Amounting to Murder  (Incidence),1
Bagalkot,Kidnapping & Abduction Total (Incidence),14
Bagalkot,Kidnapping & Abduction of Others (Incidence),5
Bagalkot,Dacoity (Incidence),4
Bagalkot,Preparation & Assembly For Dacoity (Incidence),0
Bagalkot,Burglary  (Incidence),98
Bagalkot,Theft Total (Incidence),136
Bagalkot,Auto Theft (Incidence),74
Bagalkot,Other Theft (Incidence),62
Bagalkot,Criminal Breach of Trust (Incidence),10
Bagalkot,Cheating (Incidence),60
Bagalkot,Counterfeiting (Incidence),0
Bagalkot,Hurt  (Incidence),236
Bagalkot,Death By Negligence (Incidence),0
Bagalkot,Other IPC Crimes (Incidence),1236
Bagalkot,Total Cognizable Crimes Under IPC (Incidence),2187
Bagalkot,Arms Act (Incidence),0
Bagalkot,Narcotic Drugs and Psychotropic Substances Act (Incidence),0
Bagalkot,Gambling Cases (Incidence),139
Bagalkot,Excise Act (Incidence),119
Bagalkot,Prohibition Act (Incidence),0
Bagalkot,Explosives and Explosive Substances Act (Incidence),0
Bagalkot,Immoral Traffic (Prevention) Act (Incidence),0
Bagalkot,Indian Railways Act (Incidence),0
Bagalkot,Registration of Foreigners Act (Incidence),0
Bagalkot,Protection of Civil Rights Act (Incidence),0
Bagalkot,Indian Passport Act (Incidence),0
Bagalkot,Essential Commodities Act (Incidence),1
Bagalkot,Terrorist & Disruptive Activities Act (Incidence),0
Bagalkot,Antiquity & Art Treasure Act (Incidence),0
Bagalkot,Dowry Prohibition Act (Incidence),8
Bagalkot,Child Marriage Restraint Act (Incidence),0
Bagalkot,Indecent Representation of Women (P) Act (Incidence),0
Bagalkot,Copyright Act (Incidence),0
Bagalkot,Sati Prevention Act (Incidence),0
Bagalkot,Forest Act (Incidence),0
Bagalkot,Other SLL Crimes (Incidence),13
Bagalkot,Total Cognizable Crimes Under SLL (Incidence),328
Bagalkot,Number of Cases Reported Under C.H. Not Amounting to Murder,1
Bagalkot,Number of Cases Reported Under Dacoity,4
Bagalkot,Number of Cases Reported Under Preparation and Assembly For Dacoity,0
Bagalkot,Number of Cases Reported Under Robbery,15
Bagalkot,Number of Cases Reported Under Riots,182
Bagalkot,Number of Cases Reported Under Arson,5
Bagalkot,Number of Cases Reported Under Total Violent Crimes,313
Bagalkot,Number of Cases Reported Under Percentage Share to All Karnataka Crimes,1.9
Bagalkot,Number of Cases Reported Under Percentage to Total Cognizable Crimes Under IPC,0.2
Bagalkot,Number of Cases Reported Under Gain Murder (C.H.),0
Bagalkot,Number of Cases Reported Under Gain CHNA (C.H.),0
Bagalkot,Number of Cases Reported Under Property Dispute Murder (C.H.),4
Bagalkot,Number of Cases Reported Under Property Dispute CHNA (C.H.),0
Bagalkot,Number of Cases Reported Under Personal Vendetta Or Enmity Murder (C.H.),0
Bagalkot,Number of Cases Reported Under Personal Vendetta Or Enmity CHNA (C.H.),0
Bagalkot,Number of Cases Reported Under Love Affairs / Sexual Causes Murder (C.H.),8
Bagalkot,Number of Cases Reported Under Love Affairs / Sexual Causes CHNA (C.H.),0
Bagalkot,Number of Cases Reported Under Dowry Murder (C.H.),0
Bagalkot,Number of Cases Reported Under Dowry CHNA (C.H.),0
Bagalkot,Number of Cases Reported Lunacy Murder (C.H.),0
Bagalkot,Number of Cases Reported Lunacy Murder CHNA (C.H),0
Bagalkot,Number of Cases Reported Witchcraft Murder (C.H.),0
Bagalkot,Number of Cases Reported Witchcraft CHNA (C.H.),0
Bagalkot,Number of Cases Reported For Political Reasons Murder (C.H.),0
