District,Attribute,Measure
Bangalore City,Households with toilet facility - Total,95.9
Bangalore City,Type of houses occupied - Pucca,61
Bangalore City,Living in own house - Total,58.2
Bangalore City,Mean age at marriage - Female,20.5
Bangalore City,Mean age at marriage - Male,25.8
Bangalore City,Population size - Female,4563412
Bangalore City,Population size - Female 0-6 yr,479214
Bangalore City,Population size - Male,5025498
Bangalore City,Population size - Male 0-6 yr,509268
Bangalore City,Population size - Rural,868971
Bangalore City,Population size - Rural 0-6 yr,94272
Bangalore City,Population size - Rural Female,404849
Bangalore City,Population size - Rural Female 0-6 yr,45985
Bangalore City,Population size - Rural Male,464122
Bangalore City,Population size - Rural Male 0-6 yr,48287
Bangalore City,Population size - Total,9588910
Bangalore City,Population size - Total 0-6 yr,988482
Bangalore City,Population size - Urban,8719939
Bangalore City,Population size - Urban 0-6 yr,894210
Bangalore City,Population size - Urban Female,4158563
Bangalore City,Population size - Urban Female 0-6 yr,433229
Bangalore City,Population size - Urban Male,4561376
Bangalore City,Population size - Urban Male 0-6 yr,460981
Bangalore City,Population density - Total,4378
Bangalore City,Sex ratio - Rural,872
Bangalore City,Sex ratio - Total,908
Bangalore City,Sex ratio - Urban,912
Bangalore City,Sex ratio (0-6 years) - Rural,952
Bangalore City,Sex ratio (0-6 years) - Total,941
Bangalore City,Sex ratio (0-6 years) - Urban,940
Bangalore City,Percentage of households who own any agricultural land - Total,11.7
Bangalore City,Percentage distribution of population by wealth quintiles - Highest,68
Bangalore City,Percentage distribution of population by wealth quintiles - Lowest,0.4
Bangalore City,Percentage of households holding below poverty line (BPL) ration cards - Total,23.8
Bangalore City,Children aged 6-11 years attending school - Female,99.5
Bangalore City,Children aged 6-11 years attending school - Male,99
Bangalore City,Literacy rate (age 7+) - Female,84.8
Bangalore City,Literacy rate (age 7+) - Male,91.82
Bangalore City,Literacy rate (age 7+) - Rural,78.57
Bangalore City,Literacy rate (age 7+) - Rural Female,71.46
Bangalore City,Literacy rate (age 7+) - Rural Male,84.7
Bangalore City,Literacy rate (age 7+) - Total,88.48
Bangalore City,Literacy rate (age 7+) - Urban,89.47
Bangalore City,Literacy rate (age 7+) - Urban Female,86.08
Bangalore City,Literacy rate (age 7+) - Urban Male,92.54
Bangalore City,Number of literates aged 7 years and above - Female,3463253
Bangalore City,Number of literates aged 7 years and above - Male,4146709
Bangalore City,Number of literates aged 7 years and above - Rural,608655
Bangalore City,Number of literates aged 7 years and above - Rural Female,256427
Bangalore City,Number of literates aged 7 years and above - Rural Male,352228
Bangalore City,Number of literates aged 7 years and above - Total,7609962
Bangalore City,Number of literates aged 7 years and above - Urban,7001307
Bangalore City,Number of literates aged 7 years and above - Urban Female,3206826
Bangalore City,Number of literates aged 7 years and above - Urban Male,3794481
Bangalore City,Households with electricity - Total,98.6
Bangalore City,Households using LPG for cooking - Total,75.9
Bangalore City,Households with improved source of drinking water - Total,99.2
Bangalore City,Children aged under 3 yrs with ARI/fever taken to a health facility - Total,94.3
Bangalore City,Children aged under 3 yrs with diarrhoea taken to a health facility - Total,97.6
Bangalore City,Children aged under 3 yrs with diarrhoea treated with ORS - Total,50
Bangalore City,Women whose child under 3 yrs suffered from diarrhoea - Total,10.8
Bangalore City,Women whose child under 3 yrs suffered from diarrhoea taken to a health facility - Total,54.5
Bangalore City,Women whose child under 3 yrs suffered from diarrhoea treated with ORS - Total,27.7
Bangalore City,Women whose child under 3 yrs suffered from pneumonia - Total,24.4
Bangalore City,Women whose child under 3 yrs suffered from pneumonia taken to a health facility - Total,67.1
Bangalore City,Women with children under 3 yrs aware of diarrhoea - Total,78.3
Bangalore City,Women with children under 3 yrs aware of pneumonia - Total,6.3
Bangalore City,Women with children under 3 yrs having knowledge of ORS - Total,42.3
Bangalore City,Children aged under 3 years who received medical check-up within 24 hours after delivery - Total,92.1
Bangalore City,Percentage of villages with health sub-centre within 3 km - Total,81
Bangalore City,Percentage of Primary Health Centre (PHC) functioning on 24 hr basis - Total,30.8
Bangalore City,BCG immunization - Total 12-23 mo,100
Bangalore City,BCG immunization - Total 12-35 mo,100
