id,Crime Measure (Target)
0,43.983064
1,31.998984
2,117.254423
3,48.733678
4,13.027575
5,14.701761
6,1.805416
7,72.401326
8,26.219794
9,142.034346
10,51.832770
11,49.930754
12,116.251732
13,87.778284
14,8.882356
15,8.541791
16,5.210526
17,33.149183
18,50.095232
19,180.093071
20,42.901676
21,42.192361
22,159.844806
23,155.950886
24,26.241562
25,13.030627
26,3.996457
27,93.820031
28,89.810072
29,244.944669
30,16.851567
31,18.209588
32,48.209653
33,29.901701
34,4.484194
35,1.731188
36,1.684771
37,30.550300
38,45.620397
39,84.508130
40,70.484577
41,48.075045
42,274.571198
43,233.215497
44,24.777548
45,14.543132
46,5.236745
47,250.547246
48,100.500594
49,443.115317
50,30.267846
51,33.939191
52,67.623803
53,46.466679
54,11.955385
55,8.934790
56,2.509120
57,70.275868
58,71.967612
59,173.004326
60,38.399309
61,14.531084
62,103.073274
63,26.176937
64,14.627086
65,8.672785
66,7.248821
67,52.800850
68,23.243921
69,104.059550
70,75.990826
71,67.082601
72,297.065408
73,239.458859
74,28.862424
75,25.965413
76,5.085278
77,218.070382
78,92.944799
79,401.896778
80,38.017896
81,48.627410
82,88.708651
83,44.089264
84,27.303587
85,30.446700
86,4.742229
87,164.158896
88,142.035004
89,363.585661
90,106.349181
91,92.152442
92,236.082504
93,160.364066
94,29.302179
95,19.452526
96,6.474853
97,116.490799
98,129.332676
99,412.314924
